,,,,,,CO2 (MtCO2) proximity mileage brackets (to top 20),,,,,,,,,,,,
1933Madagascar,Madagascar,Rest,1933,22.61083333,0.0037,0.0037,25.3329,0,61.1742,53.0108,1063.4395,152.7061,0,0,1416.6673,16.7408,0,0
1933Malawi,Malawi,Rest,1933,21.19883333,,,25.3329,0,65.8385,637.9501,456.9778,169.5642,0,1416.6673,16.7408,0,0,0
1933Malaysia,Malaysia,Rest,1933,25.76083333,1.5902,19.4522,39.0876,66.1641,167.707,4.6643,99.0233,956.4323,69.4841,0,1363.924,4.7229,0,0
1933Mali,Mali,Rest,1933,28.27533333,,,30.4845,1004.3025,52.1424,0,1601.3753,58.9611,2.3628,17.862,21.581,0,0,0
1933Malta,Malta,Rest,1933,18.56191667,,229.8904,804.8966,22.0866,39.0876,213.1736,1423.753,34.6028,0,21.581,0,0,0,0
1933Mauritania,Mauritania,Rest,1933,27.07766667,,,229.8904,804.8966,4.7229,47.4195,1618.1161,42.2203,2.3628,17.862,0,21.581,0,0
1933Mauritius,Mauritius,Rest,1933,23.41108333,,,0,25.3329,61.1742,86.3276,637.9501,540.1558,4.7229,0,69.4841,1347.1832,16.7408,0
1933Mexico,Mexico,Top20,1933,20.91266667,16.7408,16.7408,1347.1832,69.4841,0,4.7229,956.4323,219.3108,49.2474,43.6676,82.2825,0,0,0
1933Moldova,Moldova,Rest,1933,7.183833333,1.5897,444.7982,613.6651,0,226.9283,71.8469,1372.5161,39.3257,0,21.581,0,0,0,0
1933Mongolia,Mongolia,Rest,1933,-1.316,,42.2203,147.9832,61.1742,430.586,622.063,91.0651,1347.1832,42.0737,0,4.7229,0,0,0
1933Montenegro,Montenegro,Rest,1933,9.475083333,,642.6144,414.2592,0,184.708,111.7044,1379.6018,34.6028,0,21.581,0,0,0,0
1933Morocco,Morocco,Rest,1933,17.56441667,0.1759,0.1759,1030.1227,4.6643,22.0866,1592.3435,98.0487,2.3628,0,17.862,0,21.581,0,0
1933Mozambique,Mozambique,Rest,1933,23.33175,0.055,0.055,25.3329,0,26.7509,312.1839,821.8316,167.2014,2.3628,0,1433.4081,0,0,0
1933Namibia,Namibia,Rest,1933,20.92383333,,25.3329,0,0,0,261.3642,839.3199,81.6633,145.6204,1435.7709,0,0,0,0
1933Nepal,Nepal,Rest,1933,14.499,,39.0876,64.3069,170.5095,43.2059,1008.4978,25.3329,69.4841,1347.1832,16.7408,4.7229,0,0,0
1933Netherlands,Netherlands,Rest,1933,9.46625,38.5709,1068.6936,4.6643,22.0866,145.6204,1497.9752,49.1594,0,17.862,0,21.581,0,0,0
1933New Zealand,New Zealand,Rest,1933,10.43708333,3.5504,3.5504,0,21.581,0,17.862,0,61.3239,1416.3266,215.1045,22.0866,4.6643,1030.1227,0
1933Nicaragua,Nicaragua,Rest,1933,26.04033333,,,1363.924,4.7229,69.4841,0,956.4323,73.6904,175.6176,24.4494,102.8889,17.862,0,0
1933Niger,Niger,Rest,1933,27.893,,,30.4845,1004.3025,47.4195,43.8105,187.8407,1433.4081,20.2248,21.581,0,0,0,0
1933Nigeria,Nigeria,Rest,1933,27.204,0.6339,0.6339,0,624.7414,457.4651,43.8105,145.6204,1458.8876,36.9656,21.581,0,0,0,0
1933Niue,Niue,Rest,1933,25.33541667,,,0,0,21.581,0,36.9656,1458.8876,189.4309,25.3329,414.2592,642.6144,0,0
1933North Korea,North Korea,Rest,1933,6.463833333,1.0887,3.4515,187.8407,17.862,39.0876,91.5378,1056.4009,1363.924,0,25.3329,0,4.7229,0,0
1933Norway,Norway,Rest,1933,1.069916667,9.1783,809.4106,234.5547,167.707,69.4841,1430.8539,16.7408,47.9178,0,21.581,0,0,0,0
1933Oman,Oman,Rest,1933,26.56741667,,22.0866,43.7519,73.6904,1144.273,45.5577,0,91.0651,1351.9061,16.7408,0,0,0,0
1933Pakistan,Pakistan,Rest,1933,20.34091667,,61.1742,0,235.7109,1007.1416,0,46.9139,69.4841,1347.1832,21.4637,0,0,0,0
1933Palau,Palau,Rest,1933,27.10683333,,,17.862,66.1641,39.0876,145.6204,22.0866,117.3543,2359.4329,16.7408,0,0,4.7229,0
1933Panama,Panama,Rest,1933,26.109,,,16.7408,1351.9061,69.4841,0,986.9168,43.2059,175.6176,24.4494,102.8889,0,17.862,0
1933Papua New Guinea,Papua New Guinea,Rest,1933,24.52308333,,,21.581,17.862,44.5831,39.0876,145.6204,22.0866,116.2221,2377.3059,0,4.7229,0,0
1933Paraguay,Paraguay,Rest,1933,23.40941667,,4.7229,0,0,0,1389.2569,0,1099.6068,4.6643,43.6676,184.708,17.862,44.5831,0
1933Peru,Peru,Rest,1933,19.58408333,6.6648,6.6648,4.7229,16.7408,1347.1832,69.4841,0,1055.4556,4.6643,167.707,21.581,83.6707,17.862,0
1933Philippines,Philippines,Rest,1933,26.36191667,0.0769,0.0769,62.4451,60.6686,145.6204,22.0866,4.6643,1099.6068,25.3329,1363.924,0,0,0,4.7229
1933Poland,Poland,Top20,1933,6.476583333,43.2059,1030.1227,4.6643,22.0866,184.708,111.7044,1374.8789,39.3257,0,21.581,0,0,0,0
1933Portugal,Portugal,Rest,1933,14.71108333,3.9974,203.4033,830.7168,4.6643,22.0866,1567.0106,123.3816,2.3628,17.862,0,0,21.581,0,0
1933Qatar,Qatar,Rest,1933,26.17758333,,22.0866,43.7519,438.5442,779.4192,45.5577,0,91.0651,1351.9061,16.7408,0,0,0,0
1933Romania,Romania,Rest,1933,7.248916667,27.3115,470.52,613.6651,0,184.708,111.7044,1374.8789,39.3257,0,21.581,0,0,0,0
1933Russia,Russia,Top20,1933,-6.252166667,145.6204,145.6204,42.2203,2.3628,1095.9612,87.3461,1347.1832,38.3218,25.3329,4.7229,0,0,0,0
1933Rwanda,Rwanda,Rest,1933,19.13233333,,,0,52.0838,677.0377,392.1726,210.4256,2.3628,91.0651,1363.924,0,0,0,0
1933Saint Lucia,Saint Lucia,Rest,1933,26.48716667,,,0,1368.6469,69.4841,986.9168,47.8702,25.3329,167.707,83.6707,0,0,39.443,0
1933Samoa,Samoa,Rest,1933,26.414,,,0,0,21.581,0,36.9656,1604.508,43.8105,0,847.6518,234.5547,0,0
1933Saudi Arabia,Saudi Arabia,Top20,1933,25.05491667,,22.0866,4.6643,677.0377,580.0133,45.5577,0,91.0651,1351.9061,16.7408,0,0,0,0
1933Senegal,Senegal,Rest,1933,27.84441667,,,0,986.9168,77.926,22.0866,1433.4081,184.708,42.2203,20.2248,0,21.581,0,0
1933Serbia,Serbia,Rest,1933,8.9825,3.574,646.1884,414.2592,0,184.708,111.7044,1374.8789,39.3257,0,21.581,0,0,0,0
1933Seychelles,Seychelles,Rest,1933,26.66283333,,,0,86.5071,4.6643,698.0324,561.7368,0,4.7229,69.4841,1347.1832,16.7408,0,0
1933Sierra Leone,Sierra Leone,Rest,1933,26.009,,,0,229.8904,834.9524,22.0866,1416.6673,201.4488,42.2203,20.2248,21.581,0,0,0
1933Singapore,Singapore,Rest,1933,26.36766667,,17.862,0,105.2517,22.0866,145.6204,73.2031,986.9168,0,69.4841,1363.924,4.7229,0,0
1933Slovakia,Slovakia,Rest,1933,6.413083333,8.4757,646.4258,396.8369,22.0866,184.708,111.7044,1374.8789,39.3257,0,21.581,0,0,0,0
1933Slovenia,Slovenia,Rest,1933,8.8365,0.9823,638.9324,396.8369,22.0866,184.708,111.7044,1379.6018,34.6028,0,21.581,0,0,0,0
1933Solomon Islands,Solomon Islands,Rest,1933,26.33583333,,,0,21.581,20.2248,42.2203,184.708,86.2249,1369.2698,73.2031,991.6397,0,0,0
1933Somalia,Somalia,Rest,1933,26.884,,,22.0866,69.0848,637.9501,597.8753,2.3628,26.3039,69.4841,1347.1832,16.7408,0,0,0
1933South Africa,South Africa,Top20,1933,17.52708333,25.3329,25.3329,0,0,0,31.4738,677.0377,473.8359,145.6204,1349.546,86.2249,0,0,0
1933South Korea,South Korea,Top20,1933,11.69325,2.3628,2.3628,42.2203,163.4824,39.0876,48.3319,1099.6068,1347.1832,16.7408,25.3329,0,4.7229,0,0
1933Spain,Spain,Rest,1933,13.65066667,18.712,248.6024,800.2323,4.6643,22.0866,1606.0982,84.294,2.3628,17.862,0,21.581,0,0,0
1933Sri Lanka,Sri Lanka,Rest,1933,26.68883333,,39.0876,0,82.1689,152.6475,485.4581,591.5785,0,69.4841,0,1351.9061,16.7408,0,0
1933Sudan,Sudan,Rest,1933,27.46633333,,,4.6643,660.0367,456.5931,187.8407,22.5849,2.3628,1438.2483,16.7408,0,0,0,0
1933Suriname,Suriname,Rest,1933,26.05725,,,4.7229,0,1363.924,691.5471,433.3926,4.6643,167.707,39.0876,44.5831,21.581,17.862,0
1933Swaziland,Swaziland,Rest,1933,18.83216667,,25.3329,0,0,0,96.323,630.0505,455.9739,147.9832,0,1433.4081,0,0,0
1933Sweden,Sweden,Rest,1933,3.016416667,19.5181,819.7504,234.5547,167.707,150.792,1349.546,16.7408,47.9178,0,21.581,0,0,0,0
1933Switzerland,Switzerland,Rest,1933,6.501416667,9.5667,1039.6894,4.6643,22.0866,145.6204,1497.9752,49.1594,17.862,0,0,21.581,0,0,0
1933Syria,Syria,Rest,1933,17.36325,0.0147,26.7656,438.5442,630.6661,187.8407,27.6957,87.3461,1351.9061,38.3218,0,0,0,0,0
1933Tajikistan,Tajikistan,Rest,1933,3.83875,0.5536,0.5536,108.0588,553.6801,642.2878,0,116.398,0,1347.1832,21.4637,0,0,0,0
1933Tanzania,Tanzania,Rest,1933,22.25008333,,,25.3329,22.0866,74.2364,999.6382,210.4256,23.9438,0,1416.6673,16.7408,0,0,0
1933Thailand,Thailand,Rest,1933,26.03483333,0.022,0.022,99.1699,2.3628,189.288,4.6643,1030.1227,25.3329,69.4841,1347.1832,16.7408,4.7229,0,0
1933Togo,Togo,Rest,1933,27.16175,,,0,599.4085,487.5209,0,39.0876,1621.2488,20.2248,0,21.581,0,0,0
1933Tonga,Tonga,Rest,1933,23.43533333,,,0,0,21.581,17.862,19.1036,1458.8876,189.4309,25.3329,22.0866,1034.787,0,0
1933Trinidad and Tobago,Trinidad and Tobago,Rest,1933,25.90016667,4.067,4.067,4.7229,1363.924,69.4841,986.9168,43.2059,29.9972,167.707,39.0876,44.5831,0,39.443,0
1933Tunisia,Tunisia,Rest,1933,20.15016667,0.0183,229.9087,804.8966,22.0866,0,210.0409,1463.6105,19.1036,17.862,0,21.581,0,0,0
1933Turkey,Turkey,Top20,1933,10.83858333,4.6643,4.6643,660.0367,431.2602,187.8407,27.6957,87.3461,1351.9061,38.3218,0,0,0,0,0
1933Turkmenistan,Turkmenistan,Rest,1933,14.50058333,2.5463,24.6329,43.7519,825.7908,394.5354,17.862,94.817,1368.7642,21.4637,0,0,0,0,0
1933Uganda,Uganda,Rest,1933,22.96741667,,,0,52.0838,677.0377,392.1726,210.4256,23.9438,69.4841,1363.924,0,0,0,0
1933Ukraine,Ukraine,Rest,1933,5.990166667,42.36,455.084,644.1496,145.6204,81.3079,71.8469,1390.3781,21.4637,0,21.581,0,0,0,0
1933United Arab Emirates,United Arab Emirates,Rest,1933,27.216,,22.0866,43.7519,438.5442,779.4192,45.5577,0,91.0651,1351.9061,16.7408,0,0,0,0
1933United Kingdom,United Kingdom,Top20,1933,9.115583333,392.1726,999.6382,30.4845,4.6643,237.1911,1428.4911,23.8265,25.3329,17.862,0,21.581,0,0,0
1933United States of America,United States of America,Top20,1933,9.030583333,1347.1832,1347.1832,86.2249,0,0,961.1552,219.3108,7.0271,64.3069,64.4205,39.443,0,0,0
1933Uruguay,Uruguay,Rest,1933,17.34291667,0.066,0.066,4.7229,0,0,42.0737,1347.1832,691.5471,412.724,43.6676,39.0876,163.4824,42.2203,2.3628
1933Uzbekistan,Uzbekistan,Rest,1933,11.9165,8.5377,30.6243,43.7519,626.3849,593.9413,17.862,94.817,1368.7642,16.7408,4.7229,0,0,0,0
1933Venezuela,Venezuela,Rest,1933,24.811,2.8213,2.8213,4.7229,1363.924,0,661.0626,438.5442,29.9972,167.707,0,83.6707,21.581,0,17.862
1933Vietnam,Vietnam,Rest,1933,23.64558333,4.2209,4.2209,101.5327,0,189.288,4.6643,438.5442,616.9114,69.4841,1347.1832,16.7408,0,4.7229,0
1933Yemen,Yemen,Rest,1933,25.91358333,,,26.7509,112.778,1023.9855,163.4824,2.3628,21.581,74.207,1347.1832,16.7408,0,0,0
1933Zambia,Zambia,Rest,1933,21.03116667,,,25.3329,0,57.2354,646.5532,414.7575,209.4217,2.3628,1416.6673,16.7408,0,0,0
1933Zimbabwe,Zimbabwe,Rest,1933,20.81883333,1.2824,26.6153,0,0,22.0866,681.702,414.7575,209.4217,2.3628,1347.1832,86.2249,0,0,0
1934Afghanistan,Afghanistan,Rest,1934,13.34141667,,23.4936,49.4384,270.6346,1095.2446,0,51.5672,79.9118,1434.3864,23.5156,0,0,0,0
1934Albania,Albania,Rest,1934,13.524,0.0073,700.7107,446.7186,0,219.7893,78.1422,1522.0163,38.1239,0,22.6985,0,0,0,0
1934Algeria,Algeria,Rest,1934,22.74466667,0.1392,0.1392,1118.1356,5.7928,23.4936,253.282,1563.5717,21.9857,19.2323,0,22.6985,0,0,0
1934Andorra,Andorra,Rest,1934,11.43283333,,1072.9182,51.0102,23.4936,0,1734.0875,101.6578,3.0941,19.2323,0,22.6985,0,0,0
1934Angola,Angola,Rest,1934,21.98025,,,28.8687,0,68.9639,1126.7277,0,244.6495,1460.179,98.8034,0,0,0,0
1934Argentina,Argentina,Rest,1934,14.35391667,14.242,14.242,4.624,0,0,47.7603,1434.3864,79.9118,1140.8341,29.2864,62.8779,176.1437,52.3676,0
1934Armenia,Armenia,Rest,1934,7.960333333,1.0718,30.3582,493.5408,844.3841,49.2735,3.0941,128.0128,1434.3864,46.2141,0,0,0,0,0
1934Australia,Australia,Top20,1934,21.50708333,22.6985,22.6985,0,19.2323,0,96.0132,0,228.506,5.7928,592.3442,2063.6052,0,0,0
1934Austria,Austria,Rest,1934,7.414583333,13.7547,1131.8903,5.7928,23.4936,219.7893,129.1853,1470.9732,38.1239,0,22.6985,0,0,0,0
1934Azerbaijan,Azerbaijan,Rest,1934,10.58033333,3.9744,33.2608,493.5408,844.3841,49.2735,3.0941,128.0128,1434.3864,46.2141,0,0,0,0,0
1934Bahamas,Bahamas,Rest,1934,24.98041667,,,1453.278,79.9118,4.624,1033.2407,84.8949,181.9365,55.4564,92.9191,0,41.9308,0,0
1934Bahrain,Bahrain,Rest,1934,25.48666667,0.1209,23.6145,49.4384,694.9106,648.6422,51.1951,0,102.6103,1439.0104,18.8916,0,0,0,0
1934Bangladesh,Bangladesh,Rest,1934,24.75758333,,43.6456,49.2735,221.9637,5.7928,717.6091,452.0937,79.9118,0,1434.3864,23.5156,0,0,0
1934Barbados,Barbados,Rest,1934,26.30358333,0.0037,0.0037,4.624,1453.278,79.9118,1072.9182,51.0102,28.8687,199.6373,92.9191,3.0941,0,41.9308,0
1934Belarus,Belarus,Rest,1934,7.469,7.6987,461.562,693.5587,176.1437,92.9191,83.0059,1463.2551,42.7479,0,22.6985,0,0,0,0
1934Belgium,Belgium,Rest,1934,10.44583333,74.9654,1193.101,5.7928,23.4936,176.1437,1607.2173,55.4784,0,19.2323,0,22.6985,0,0,0
1934Belize,Belize,Rest,1934,25.41833333,,,1453.278,79.9118,4.624,0,1072.9182,221.3611,5.7928,104.7299,66.3441,19.2323,0,0
1934Benin,Benin,Rest,1934,27.36108333,,,0,655.486,520.8047,4.624,43.6456,1758.607,22.3264,0,22.6985,0,0,0
1934Bhutan,Bhutan,Rest,1934,11.68383333,,92.9191,0,221.9637,51.0102,1095.6167,28.8687,79.9118,1434.3864,18.8916,4.624,0,0,0
1934Bolivia,Bolivia,Rest,1934,20.71641667,0.0769,4.7009,0,0,18.8916,1434.3864,310.1503,916.7658,5.7928,23.4936,242.4878,52.3676,19.2323,0
1934Botswana,Botswana,Rest,1934,21.89908333,,28.8687,0,0,0,313.9793,881.7123,91.2043,179.2378,1434.3864,98.8034,0,0,0
1934Brazil,Brazil,Top20,1934,24.64858333,4.624,4.624,0,0,0,1482.1467,1152.83,51.0102,23.4936,176.1437,66.3441,52.3676,19.2323,0
1934Bulgaria,Bulgaria,Rest,1934,11.37475,2.4439,501.7775,648.0884,0,219.7893,49.2735,1546.261,42.7479,0,22.6985,0,0,0,0
1934Burkina Faso,Burkina Faso,Rest,1934,28.0055,,,0,1123.9284,56.9863,0,1478.032,324.2206,22.3264,0,22.6985,0,0,0
1934Burundi,Burundi,Rest,1934,19.9985,,,28.8687,29.2864,738.5562,423.225,249.2735,25.7926,0,1533.1898,0,0,0,0
1934Cambodia,Cambodia,Rest,1934,26.39633333,,,112.1514,3.0941,222.3358,5.7928,493.5408,653.4635,79.9118,1434.3864,18.8916,4.624,0,0
1934Cameroon,Cameroon,Rest,1934,24.39425,,,0,275.7088,900.5819,48.2696,176.1437,1563.5717,41.218,22.6985,0,0,0,0
1934Canada,Canada,Top20,1934,-5.207166667,79.9118,79.9118,1434.3864,18.8916,423.225,871.0543,62.7844,23.4936,43.6456,41.9308,28.8687,0,0,0
1934Cape Verde,Cape Verde,Rest,1934,23.49366667,,,0,668.8963,459.6561,1486.7487,98.8034,219.7893,49.2735,3.0941,19.2323,22.6985,0,0
1934Central African Republic,Central African Republic,Rest,1934,25.278,,,0,299.2024,920.7339,0,230.0412,22.3264,1536.9967,18.8916,0,0,0,0
1934Chad,Chad,Rest,1934,27.107,,,45.4703,1101.9517,72.5143,0,230.0412,1536.6246,18.8916,22.6985,0,0,0,0
1934Chile,Chile,Rest,1934,9.292416667,4.8328,4.8328,4.624,0,0,18.8916,1463.2551,79.9118,1095.6167,51.0102,42.7259,219.7893,3.0941,49.2735
1934China,China,Top20,1934,6.362833333,49.2735,49.2735,222.8834,42.7259,5.7928,1140.8341,79.9118,28.8687,1453.278,0,0,4.624,0,0
1934Colombia,Colombia,Rest,1934,24.44416667,0.7365,0.7365,0,1457.902,79.9118,0,1072.9182,74.0861,181.9365,23.4936,96.0132,22.6985,19.2323,0
1934Comoros,Comoros,Rest,1934,25.51116667,,,28.8687,0,72.932,714.1429,495.197,183.8618,0,79.9118,1434.3864,18.8916,0,0
1934Congo Dem Republic,Congo Dem Republic,Rest,1934,23.865,0.0183,0.0183,28.8687,0,724.197,466.8706,53.8975,195.376,1540.0908,18.8916,0,0,0,0
1934Costa Rica,Costa Rica,Rest,1934,25.7045,,,18.8916,1439.0104,79.9118,0,1033.2407,84.8949,210.8052,26.5877,71.972,43.6456,19.2323,0
1934Croatia,Croatia,Rest,1934,12.35458333,1.2701,696.1807,429.0178,23.4936,219.7893,129.1853,1470.9732,38.1239,0,22.6985,0,0,0,0
1934Cuba,Cuba,Rest,1934,25.25608333,,,1453.278,79.9118,4.624,1033.2407,84.8949,181.9365,52.3623,52.3676,43.6456,41.9308,0,0
1934Cyprus,Cyprus,Rest,1934,19.139,,5.7928,718.4042,466.8706,225.4172,28.8687,102.2382,1439.0104,41.5901,0,0,0,0,0
1934Czech Republic,Czech Republic,Rest,1934,9.19125,31.1896,1149.3252,5.7928,23.4936,219.7893,129.1853,1466.3492,42.7479,0,22.6985,0,0,0,0
1934Denmark,Denmark,Rest,1934,-17.03783333,14.645,1093.1031,45.4703,23.4936,256.0555,1527.3055,21.9857,52.725,0,22.6985,0,0,0,0
1934Djibouti,Djibouti,Rest,1934,28.4215,,,29.2864,83.3231,1107.3268,244.6495,3.0941,27.3225,79.9118,1434.3864,18.8916,0,0,0
1934Dominica,Dominica,Rest,1934,25.915,,,0,1457.902,79.9118,1118.1356,5.7928,28.8687,199.6373,96.0132,0,0,41.9308,0
1934Dominican Republic,Dominican Republic,Rest,1934,25.37858333,,,1434.3864,23.5156,79.9118,1072.9182,45.2174,181.9365,52.3623,52.3676,43.6456,22.6985,19.2323,0
1934Ecuador,Ecuador,Rest,1934,21.57066667,0.7328,0.7328,4.624,1453.278,0,79.9118,624.5948,522.4095,5.7928,199.6373,25.7926,92.9191,19.2323,0
1934Egypt,Egypt,Rest,1934,22.85983333,0.8244,6.6172,517.0344,624.5948,72.5143,225.4172,22.3264,1518.9222,41.5901,0,0,0,0,0
1934El Salvador,El Salvador,Rest,1934,25.21816667,,,1453.278,0,84.5358,0,1033.2407,84.8949,210.8052,75.8612,66.3441,19.2323,0,0
1934Equatorial Guinea,Equatorial Guinea,Rest,1934,25.232,,,0,68.5462,1107.7445,48.2696,0,225.4172,1555.5162,22.6985,0,0,0,0
1934Eritrea,Eritrea,Rest,1934,26.656,,,29.2864,537.1864,653.4635,225.4172,22.3264,27.3225,1514.2982,18.8916,0,0,0,0
1934Estonia,Estonia,Rest,1934,6.967916667,2.3293,456.1926,670.0651,199.6373,92.9191,83.0059,1434.3864,71.6166,0,22.6985,0,0,0,0
1934Ethiopia,Ethiopia,Rest,1934,22.83758333,,,23.4936,117.9846,1078.4581,225.4172,22.3264,27.3225,79.9118,1434.3864,18.8916,0,0,0
1934Fiji,Fiji,Rest,1934,25.026,,,0,22.6985,0,22.3264,0,1758.607,43.6456,56.9863,474.2352,649.6932,0,0
1934Finland,Finland,Rest,1934,3.47475,3.9535,457.8168,670.0651,199.6373,172.8309,1437.4805,18.8916,52.725,0,22.6985,0,0,0,0
1934France,France,Top20,1934,13.13275,201.3698,1118.1356,5.7928,23.4936,176.1437,1607.2173,55.4784,0,19.2323,0,22.6985,0,0,0
1934Gabon,Gabon,Rest,1934,24.59316667,,,0,68.5462,1107.7445,48.2696,0,225.4172,1555.5162,22.6985,0,0,0,0
1934Gambia,Gambia,Rest,1934,27.15225,,,0,1072.9182,84.5029,23.4936,1533.1898,219.7893,49.2735,22.3264,0,22.6985,0,0
1934Georgia,Georgia,Rest,1934,7.784083333,1.9132,31.1996,493.5408,844.3841,49.2735,3.0941,128.0128,1434.3864,46.2141,0,0,0,0,0
1934Germany,Germany,Top20,1934,9.569666667,408.6459,1118.1356,5.7928,23.4936,176.1437,1607.2173,55.4784,19.2323,0,22.6985,0,0,0,0
1934Ghana,Ghana,Rest,1934,26.90125,,,0,241.0473,939.8674,0,43.6456,1758.607,22.3264,0,22.6985,0,0,0
1934Greece,Greece,Rest,1934,15.55266667,2.8323,93.52,1056.7343,0,219.7893,78.1422,1522.0163,38.1239,0,22.6985,0,0,0,0
1934Grenada,Grenada,Rest,1934,26.61308333,,,4.624,1453.278,79.9118,1072.9182,45.2174,34.6615,199.6373,92.9191,3.0941,0,41.9308,0
1934Guatemala,Guatemala,Rest,1934,23.401,,18.8916,1434.3864,79.9118,4.624,0,1033.2407,84.8949,181.9365,104.7299,66.3441,19.2323,0,0
1934Guinea,Guinea,Rest,1934,25.464,,,0,241.0473,916.3738,23.4936,1557.9438,195.0353,49.2735,22.3264,22.6985,0,0,0
1934Guyana,Guyana,Rest,1934,25.67883333,,,4.624,0,1453.278,704.5066,522.4095,5.7928,199.6373,0,96.0132,22.6985,19.2323,0
1934Haiti,Haiti,Rest,1934,26.10408333,,,1453.278,4.624,79.9118,1033.2407,84.8949,181.9365,52.3623,52.3676,43.6456,22.6985,19.2323,0
1934Honduras,Honduras,Rest,1934,24.97466667,,,1453.278,0,84.5358,0,1072.9182,45.2174,210.8052,75.8612,66.3441,19.2323,0,0
1934Hungary,Hungary,Rest,1934,11.05091667,10.5743,711.2777,423.225,23.4936,219.7893,129.1853,1466.3492,42.7479,0,22.6985,0,0,0,0
1934Iceland,Iceland,Rest,1934,2.501,,423.225,655.2331,125.3821,1634.0237,68.1651,51.3637,28.8687,19.2323,0,22.6985,0,0,0
1934India,India,Top20,1934,23.76741667,43.6456,43.6456,72.7671,25.0251,224.4552,1095.6167,28.8687,0,79.9118,1434.3864,23.5156,0,0,0
1934Indonesia,Indonesia,Top20,1934,25.56683333,19.2323,19.2323,0,118.7117,0,199.6373,5.7928,522.4095,624.5948,79.9118,1453.278,0,4.624,0
1934Iran,Iran,Top20,1934,16.91275,23.4936,23.4936,49.4384,744.1841,599.3687,51.1951,0,102.6103,1439.0104,18.8916,0,0,0,0
1934Iraq,Iraq,Rest,1934,21.49758333,2.8652,32.1516,84.8949,1076.8863,225.4172,31.9628,19.2323,1514.2982,46.2141,0,0,0,0,0
1934Ireland,Ireland,Rest,1934,10.00108333,9.4824,1042.7231,84.8949,5.7928,279.5491,1478.032,75.8832,28.8687,19.2323,0,22.6985,0,0,0
1934Israel,Israel,Rest,1934,19.92391667,0.0696,5.8624,517.0344,668.2404,225.4172,28.8687,102.2382,1439.0104,41.5901,0,0,0,0,0
1934Italy,Italy,Top20,1934,13.32341667,39.6775,694.9106,429.0178,23.4936,176.1437,172.8309,1470.9732,38.1239,0,22.6985,0,0,0,0
1934Ivory Coast,Ivory Coast,Rest,1934,26.13641667,,,0,241.0473,916.3738,23.4936,1478.032,324.2206,0,22.3264,22.6985,0,0,0
1934Jamaica,Jamaica,Rest,1934,25.9045,,,1453.278,4.624,79.9118,624.5948,493.5408,181.9365,52.3623,52.3676,43.6456,22.6985,19.2323,0
1934Japan,Japan,Top20,1934,11.49875,,3.0941,49.2735,195.376,43.6456,46.1921,962.7929,1694.3253,0,28.8687,0,4.624,0,0
1934Jordan,Jordan,Rest,1934,19.53641667,,5.7928,517.0344,668.2404,225.4172,28.8687,22.3264,1518.9222,41.5901,0,0,0,0,0
1934Kazakhstan,Kazakhstan,Rest,1934,3.822333333,20.8737,20.8737,205.4301,1211.0547,3.0941,19.2323,79.9118,1485.9536,18.8916,4.624,0,0,0,0
1934Kenya,Kenya,Rest,1934,24.20783333,,,0,58.1551,738.5562,472.4985,195.376,30.4166,0,1514.2982,18.8916,0,0,0
1934Kiribati,Kiribati,Rest,1934,26.55191667,,,0,0,18.8916,1536.9967,3.0941,244.6495,4.624,1122.1037,68.9639,28.8687,0,0
1934Kuwait,Kuwait,Rest,1934,24.58366667,,29.2864,0,738.5562,648.6422,51.1951,0,102.6103,1439.0104,18.8916,0,0,0,0
1934Kyrgyzstan,Kyrgyzstan,Rest,1934,1.80775,1.3333,1.3333,292.5564,54.1043,1092.1505,0,131.479,1434.3864,18.8916,4.624,0,0,0,0
1934Laos,Laos,Rest,1934,23.15175,,,115.2455,176.1437,46.1921,51.0102,1072.9182,108.7805,0,1453.278,0,4.624,0,0
1934Latvia,Latvia,Rest,1934,7.36275,1.3072,455.1705,670.0651,199.6373,92.9191,83.0059,1434.3864,71.6166,0,22.6985,0,0,0,0
1934Lebanon,Lebanon,Rest,1934,17.92083333,,5.7928,718.4042,466.8706,225.4172,31.9628,99.1441,1439.0104,41.5901,0,0,0,0,0
1934Lesotho,Lesotho,Rest,1934,13.76758333,,28.8687,0,0,0,72.932,718.7669,495.197,179.2378,0,1533.1898,0,0,0
1934Liberia,Liberia,Rest,1934,25.49158333,,,0,241.0473,916.3738,23.4936,1478.032,274.9471,49.2735,22.3264,22.6985,0,0,0
1934Libya,Libya,Rest,1934,22.62441667,,,700.7034,446.7186,72.5143,176.1437,133.8093,1456.7128,18.8916,22.6985,0,0,0,0
1934Liechtenstein,Liechtenstein,Rest,1934,5.586833333,,1118.1356,5.7928,23.4936,176.1437,172.8309,1489.8648,19.2323,0,0,22.6985,0,0,0
1934Lithuania,Lithuania,Rest,1934,7.835833333,2.118,455.9813,670.0651,199.6373,92.9191,83.0059,1463.2551,42.7479,0,22.6985,0,0,0,0
1934Luxembourg,Luxembourg,Rest,1934,10.15133333,,1118.1356,5.7928,23.4936,176.1437,1607.2173,55.4784,0,19.2323,0,22.6985,0,0,0
1934Macedonia,Macedonia,Rest,1934,11.32283333,0.659,499.9926,648.0884,0,219.7893,78.1422,1517.3923,42.7479,0,22.6985,0,0,0,0
