,,,,,,CO2 (MtCO2) proximity mileage brackets (to top 20),,,,,,,,,,,,,,,,,,,,,
Key,Country,Group,Year,Ave Temperature,CO2 (MtCO2),1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,Population,GDP-USD (M US$ (2010)),Smoking Rate,Fertility Rate,Electricity production from Fossil Fuel,Electricity from Nuclear,Govt spend on education as % of GDP,Forest area (sq km),Passenger Road Transport M per km
1978Gabon,Gabon,Rest,1978,24.34733333,1.7473,1.7473,0,609.0307,2740.4757,410.3281,0,3430.4284,5563.4265,1131.2151,0,0,0,0,694732,16778.07944,,5.6,32.11009174,,,,
1978Gambia,Gambia,Rest,1978,27.65816667,0.1392,0.1392,0,2513.5196,914.6591,92.4996,5394.1267,2265.2939,1404.2907,1106.937,0,193.5779,0,0,567831,,,6.342,,,,,
1978Georgia,Georgia,Rest,1978,8.409916667,21.8529,195.0293,1897.6337,3345.89,1404.2907,1052.5777,660.6401,4808.7905,541.9054,0,0,0,0,0,4397700,1544.963812,,2.373,,,,,5452
1978Germany,Germany,Top20,1978,7.93275,1075.7207,2924.5021,80.6768,146.2273,2026.1377,6860.418,1599.0054,54.3593,0,193.5779,0,0,0,0,78091820,,,1.38,85.29512874,9.793648739,,,511300
1978Ghana,Ghana,Rest,1978,26.81416667,2.7792,2.7792,0,838.9063,2681.772,0,239.1562,8824.5551,169.2998,937.6372,193.5779,0,0,0,10354499,5714.274287,,6.665,1.378213623,,,,
1978Greece,Greece,Rest,1978,14.62,48.2806,897.1427,2302.5441,0,2265.2939,1602.3909,6440.7207,231.5149,0,193.5779,0,0,0,0,9429959,,,2.28,85.80522565,,1.6857,,5200
1978Grenada,Grenada,Rest,1978,27.25625,0.0513,0.0513,171.1719,4985.9461,408.1806,2513.5196,410.9825,332.5047,2118.6373,2581.0841,114.9405,0,247.9372,0,89073,5482.582536,,4.299,,,,,
1978Guatemala,Guatemala,Rest,1978,23.50825,4.0065,181.1621,4808.7905,408.1806,171.1719,0,2156.3168,768.1853,3044.4517,1863.5587,432.7341,54.3593,0,0,6933906,268619.0457,,6.443,78.48180678,,,,
1978Guinea,Guinea,Rest,1978,25.66283333,0.9013,0.9013,0,838.9063,2589.2724,92.4996,5456.1273,2203.2933,1404.2907,1106.937,193.5779,0,0,0,4421134,153938.8485,,6.468,,,,,
1978Guyana,Guyana,Rest,1978,26.30616667,2.0555,2.0555,171.1719,0,4985.9461,1488.7767,2042.0062,134.4045,2118.6373,0,2696.0246,193.5779,54.3593,0,770125,239382.8813,,4.031,,,,,
1978Haiti,Haiti,Rest,1978,26.70733333,0.7646,0.7646,4985.9461,171.1719,408.1806,2156.3168,768.1853,2106.8145,344.3275,2456.8684,239.1562,193.5779,54.3593,0,5450549,30296.65942,,5.872,17.55102041,,,,
1978Honduras,Honduras,Rest,1978,25.12666667,1.7156,1.7156,4985.9461,0,579.3525,0,2513.5196,410.9825,3242.5519,1665.4585,432.7341,54.3593,0,0,3458104,54479.26602,,6.543,14.75625823,,3.241,,
1978Hungary,Hungary,Rest,1978,9.1765,87.2043,2493.4906,598.8926,146.2273,2265.2939,1812.4713,6059.4684,402.6868,0,193.5779,0,0,0,0,10684822,58790.6208,,2.06,99.45973457,,,,56559
1978Iceland,Iceland,Rest,1978,1.734583333,1.826,600.7186,1968.4067,846.0602,6981.1555,1581.4463,1462.9058,198.1002,54.3593,0,193.5779,0,0,0,223537,1259030.554,,2.35,1.95788696,,,,
1978India,India,Top20,1978,24.00733333,239.1562,239.1562,1496.7903,188.7638,3489.6979,2707.0975,198.1002,0,408.1806,4808.7905,348.3275,0,0,0,665502284,18144.92887,,4.956,54.6513634,2.515232137,,,
1978Indonesia,Indonesia,Top20,1978,25.98508333,54.3593,54.3593,0,2889.6025,0,2172.365,80.6768,2042.0062,1080.5961,408.1806,4985.9461,0,171.1719,0,140665856,8518.376076,,4.682,71.80688531,,,,
1978Iran,Iran,Top20,1978,18.15125,92.4996,146.2273,319.833,3729.9002,2625.0303,1305.0372,0,601.7585,4979.9624,177.1556,0,0,0,0,35972652,2744589.203,,6.354,68.51413312,,,,
1978Iraq,Iraq,Rest,1978,22.40675,25.0037,251.9078,768.1853,2395.473,3430.4284,313.0407,991.9965,5216.9711,541.9054,0,0,0,0,0,12859094,5496.320493,,6.748,90.96362476,,,,
1978Ireland,Ireland,Rest,1978,9.648583333,24.1013,2180.4181,768.1853,80.6768,2580.5456,5047.9467,2805.1959,198.1002,54.3593,0,193.5779,0,0,0,3329100,,,3.21,92.76383993,,5.06155,,
1978Israel,Israel,Rest,1978,20.19225,19.5729,153.9774,1936.4056,1319.7523,3430.4284,198.1002,1515.1176,4979.9624,370.7335,0,0,0,0,0,3690000,12857.68376,,3.354,100,,6.6211,,
1978Italy,Italy,Top20,1978,12.37366667,357.2028,2325.6095,679.5694,146.2273,2026.1377,2051.6275,5293.0031,1169.1521,0,193.5779,0,0,0,0,56155143,176.0749053,,1.84,68.96354531,2.557778176,3.79287,,376964
1978Ivory Coast,Ivory Coast,Rest,1978,26.13375,3.98,3.98,0,838.9063,2589.2724,92.4996,5047.9467,4015.7646,0,1106.937,193.5779,0,0,0,7585914,,,7.763,88.18953324,,6.75367,,
1978Jamaica,Jamaica,Rest,1978,26.39391667,7.1466,7.1466,4985.9461,171.1719,408.1806,1080.5961,1843.906,2106.8145,344.3275,2456.8684,239.1562,193.5779,54.3593,0,2105664,,,3.965,74.90239822,,,,
1978Japan,Japan,Top20,1978,12.50533333,937.6372,1052.5777,1404.2907,2080.497,239.1562,286.0775,2628.1809,5824.8524,0,198.1002,0,171.1719,0,0,114898000,,,1.79,76.70015705,10.63391493,4.91975,,403052
1978Jordan,Jordan,Rest,1978,19.99683333,3.6421,138.0466,1936.4056,1319.7523,3430.4284,198.1002,1106.937,5388.143,370.7335,0,0,0,0,0,2234594,,,7.391,100,,3.68117,,
1978Kazakhstan,Kazakhstan,Rest,1978,6.040166667,238.947,238.947,2199.3141,4621.6767,1052.5777,54.3593,408.1806,5200.4686,177.1556,171.1719,0,0,0,0,14215111,,,3.216,,,,,
1978Kenya,Kenya,Rest,1978,24.07583333,4.7106,4.7106,53.7277,371.2766,2564.7657,2003.1833,2080.497,1417.3275,0,5216.9711,177.1556,0,0,0,15082994,732.2233383,,7.618,20.43650794,,,,
1978Kiribati,Kiribati,Rest,1978,26.97166667,0.022,0.022,0,0,177.1556,6348.1862,114.9405,3484.7877,171.1719,2806.4555,530.3792,251.8279,0,0,57662,2786.025035,,5.058,,,,,
1978Kuwait,Kuwait,Rest,1978,25.47291667,20.3114,247.2155,0,2564.7657,4029.321,367.4,937.6372,601.7585,4979.9624,177.1556,0,0,0,0,1227601,,,5.599,100,,4.08185,,
1978Kyrgyzstan,Kyrgyzstan,Rest,1978,3.870333333,15.5196,15.5196,3762.0842,660.3275,3505.5161,0,799.8587,4808.7905,177.1556,171.1719,0,0,0,0,3487100,,,4.553,,,,,
1978Laos,Laos,Rest,1978,23.8565,0.2308,0.2308,1812.7467,2963.7749,339.8052,491.6593,2513.5196,606.2808,0,4985.9461,0,171.1719,0,0,3168843,,,6.186,,,,,
1978Latvia,Latvia,Rest,1978,4.638416667,15.0227,1501.7259,1518.4757,2172.365,1643.4469,1460.7583,4808.7905,600.787,0,193.5779,0,0,0,0,2497921,15044.03542,,1.87,,,,,4256
1978Lebanon,Lebanon,Rest,1978,18.25383333,6.4888,140.8933,2418.1091,838.0488,3430.4284,313.0407,1400.1771,4979.9624,370.7335,0,0,0,0,0,2604865,,,4.182,65.2173913,,,,
1978Lesotho,Lesotho,Rest,1978,13.87708333,,198.1002,0,0,53.7277,412.3326,2551.1407,2196.7612,2141.0782,937.6372,5394.1267,0,0,0,1243352,4893.646712,,5.672,,,,,
1978Liberia,Liberia,Rest,1978,25.62525,1.5059,1.5059,0,838.9063,2589.2724,92.4996,5047.9467,2611.4739,1404.2907,1106.937,193.5779,0,0,0,1771256,2394.020984,,6.95,,,6.99484,,
1978Libya,Libya,Rest,1978,22.41133333,13.5138,13.5138,2460.014,691.3922,437.2564,2026.1377,1983.6432,5915.7275,177.1556,193.5779,0,0,0,0,2979093,38959.02484,,7.582,100,,,,
1978Liechtenstein,Liechtenstein,Rest,1978,4.321083333,,2924.5021,80.6768,146.2273,2026.1377,2051.6275,6407.7959,54.3593,0,0,193.5779,0,0,0,24962,3003.161422,,,,,,,
1978Lithuania,Lithuania,Rest,1978,5.36325,24.6186,1511.3218,1518.4757,2172.365,1643.4469,523.1211,5944.5279,402.6868,0,193.5779,0,0,0,0,3379514,2455.895099,,2.08,,,,,
1978Luxembourg,Luxembourg,Rest,1978,8.816,14.3039,2938.806,80.6768,146.2273,2026.1377,6860.418,1599.0054,0,54.3593,0,193.5779,0,0,0,362007,1619.954042,,1.48,90.51799824,,4.19158,,
1978Macedonia,Macedonia,Rest,1978,10.09283333,7.2823,1931.8651,1226.8234,0,2265.2939,1602.3909,6269.5488,402.6868,0,193.5779,0,0,0,0,1877688,2350.119158,,2.529,,,,,1739
1978Madagascar,Madagascar,Rest,1978,23.1715,1.0186,1.0186,198.1002,53.7277,331.6558,492.2389,4165.1679,2312.2501,937.6372,0,5216.9711,177.1556,0,0,8230218,432252.7252,,6.898,,,,,
1978Malawi,Malawi,Rest,1978,21.59333333,0.6668,0.6668,198.1002,53.7277,412.3326,2325.6095,2228.7145,2334.6561,937.6372,5216.9711,177.1556,0,0,0,5806845,,,7.618,,,,,
1978Malaysia,Malaysia,Rest,1978,26.19283333,20.5355,74.8948,239.1562,1712.8091,3056.2745,134.4045,966.2855,2156.3168,408.1806,0,4985.9461,171.1719,0,0,13123069,,,4.179,89.14991523,,,,
1978Mali,Mali,Rest,1978,28.87416667,0.3957,0.3957,357.2028,2647.9761,515.4994,0,7482.265,1581.4463,1052.5777,54.3593,193.5779,0,0,0,6831295,,,7.152,,,3.55959,,
1978Malta,Malta,Rest,1978,18.1975,0.92,839.8263,2166.2726,146.2273,239.1562,3628.5286,5503.0835,1169.1521,0,193.5779,0,0,0,0,310182,25056.95744,,2.05,100,,3.34883,,
1978Mauritania,Mauritania,Rest,1978,28.00066667,0.5826,0.5826,838.9063,2166.2726,224.8996,290.5998,7659.4206,1404.2907,114.9405,991.9965,0,193.5779,0,0,1448414,,,6.551,,,,,
1978Mauritius,Mauritius,Rest,1978,23.98908333,0.6,0.6,0,198.1002,385.3835,1732.9047,2325.6095,3677.608,171.1719,0,408.1806,4808.7905,177.1556,0,933499,,,2.954,81.26984127,,5.54268,,
1978Mexico,Mexico,Top20,1978,20.7555,177.1556,177.1556,4808.7905,408.1806,0,171.1719,2156.3168,3731.9602,1599.908,339.8052,491.6157,0,0,0,66039488,4218.322297,,5.317,70.43340937,,,,116481
1978Moldova,Moldova,Rest,1978,8.578666667,21.9347,1946.5175,1226.8234,0,3669.5846,523.1211,5944.5279,402.6868,0,193.5779,0,0,0,0,3339000,411641.0359,,2.454,,,,,3516
1978Mongolia,Mongolia,Rest,1978,0.124333333,5.7781,1410.0688,3078.7154,331.6558,1675.467,1437.7989,601.7585,4808.7905,375.2558,0,171.1719,0,0,0,1603906,67317.77187,,6.587,,,,,
1978Montenegro,Montenegro,Rest,1978,9.849083333,,2406.2863,745.1199,0,2265.2939,1812.4713,6230.6403,231.5149,0,193.5779,0,0,0,0,562065,7030.519766,,2.3,,,,,
1978Morocco,Morocco,Rest,1978,17.95275,13.8433,13.8433,2924.5021,80.6768,146.2273,7612.3809,1820.6025,114.9405,937.6372,54.3593,0,193.5779,0,0,19081718,2957.615854,,5.876,67.7301732,,6.20183,,
1978Mozambique,Mozambique,Rest,1978,23.7745,2.1512,2.1512,198.1002,0,226.9041,1489.045,3304.4352,2219.7156,1052.5777,0,5394.1267,0,0,0,11248046,129233.1249,,6.539,8.219178082,,,,
1978Namibia,Namibia,Rest,1978,20.413,,198.1002,0,0,53.7277,1183.2546,2324.752,1652.2279,2026.1377,6446.7044,0,0,0,0,970258,,,6.581,,,,,
1978Nepal,Nepal,Rest,1978,14.66391667,0.2983,239.4545,1496.7903,2329.842,1348.6197,2707.0975,198.1002,408.1806,4808.7905,177.1556,171.1719,0,0,0,14241403,,,5.783,12.06896552,,,,
1978Netherlands,Netherlands,Rest,1978,9.344416667,144.9129,3069.415,80.6768,146.2273,2026.1377,6860.418,1599.0054,0,54.3593,0,193.5779,0,0,0,13941700,181758.551,,1.58,91.44262614,6.5913371,6.26437,,120600
1978New Zealand,New Zealand,Rest,1978,11.04275,18.6094,18.6094,0,193.5779,0,54.3593,937.6372,1696.3868,5417.2188,2434.3183,146.2273,80.6768,2924.5021,0,3121200,10338.03381,,2.07,20.18538517,,4.53253,,
1978Nicaragua,Nicaragua,Rest,1978,26.36275,2.4489,2.4489,4985.9461,171.1719,408.1806,0,2156.3168,768.1853,2304.9147,1198.805,1837.0248,54.3593,0,0,3065117,37977.31976,,6.327,70.03514938,,,,
1978Niger,Niger,Rest,1978,27.68641667,0.4177,0.4177,357.2028,2701.7038,290.5998,410.3281,3430.4284,5394.1267,1106.937,193.5779,0,0,0,0,5652355,,,7.775,,,,,
1978Nigeria,Nigeria,Rest,1978,26.7825,21.2258,21.2258,0,2247.1317,1102.3747,410.3281,2026.1377,6621.2618,1284.0926,193.5779,0,0,0,0,69293550,7343.701297,,6.772,49.24656038,,,,
1978Niue,Niue,Rest,1978,25.17725,0.0037,0.0037,0,0,193.5779,0,1284.0926,6621.2618,2436.4658,198.1002,691.3922,2460.014,0,0,0,3880.53292,,,,,,,
1978North Korea,North Korea,Rest,1978,7.411583333,98.3281,1150.9058,3430.4284,54.3593,239.1562,831.4645,2921.7002,4985.9461,0,198.1002,0,171.1719,0,0,17015983,6029.997723,,2.897,48.70259481,,,,
1978Norway,Norway,Rest,1978,-0.453583333,28.1939,2113.7897,919.5831,2118.6373,461.9083,6567.1779,1114.7928,423.6314,0,193.5779,0,0,0,0,4058671,58681.28816,,1.77,0.164524549,,6.44435,,34779
1978Oman,Oman,Rest,1978,27.2835,1.55,147.7773,319.833,768.1853,5586.7452,1305.0372,0,601.7585,4979.9624,177.1556,0,0,0,0,1032800,71995.96781,,8.137,100,,,,
1978Pakistan,Pakistan,Rest,1978,20.74325,22.8262,354.482,53.7277,3922.0877,3620.4566,0,391.6781,408.1806,4808.7905,348.3275,0,0,0,0,73194937,,,6.583,37.9959596,1.866666667,2.20418,,
1978Palau,Palau,Rest,1978,27.41908333,,,991.9965,1712.8091,239.1562,2026.1377,146.2273,899.8399,7520.4103,177.1556,0,0,171.1719,0,12153,109491.762,,,,,,,
1978Panama,Panama,Rest,1978,26.4725,3.0502,3.0502,177.1556,4979.9624,408.1806,0,2513.5196,410.9825,2304.9147,1198.805,1837.0248,0,54.3593,0,1884515,,,4.128,51.13182423,,3.60598,,
1978Papua New Guinea,Papua New Guinea,Rest,1978,24.7425,1.6744,1.6744,193.5779,991.9965,1519.2312,239.1562,2026.1377,146.2273,864.1132,7733.2926,0,171.1719,0,0,3125034,,,5.839,,,,,
1978Paraguay,Paraguay,Rest,1978,24.0815,1.4843,172.6562,0,0,0,5184.0463,0,3332.6827,134.4045,286.0775,2265.2939,54.3593,2456.8684,0,3012829,,,5.186,52.81690141,,,,
1978Peru,Peru,Rest,1978,20.083,19.3576,19.3576,171.1719,177.1556,4808.7905,408.1806,0,3122.6023,80.6768,2172.365,1131.2151,1758.3874,54.3593,0,16491083,1748.618956,,5.31,26.89411228,,,,
1978Philippines,Philippines,Rest,1978,26.66433333,36.1818,36.1818,2511.2277,432.7341,2026.1377,92.4996,134.4045,3332.6827,198.1002,4985.9461,0,0,0,171.1719,44866273,384.7554354,,5.399,81.926393,,,,
1978Poland,Poland,Top20,1978,7.11925,410.9825,2924.5021,80.6768,146.2273,2265.2939,1812.4713,6059.4684,402.6868,0,193.5779,0,0,0,0,34965600,,,2.21,97.97517395,,,,
1978Portugal,Portugal,Rest,1978,14.82666667,22.3001,504.0036,2442.7986,80.6768,146.2273,7414.2807,2018.7027,1052.5777,54.3593,0,0,193.5779,0,0,9558250,300820.9545,,2.45,24.35783273,,2.90019,,34244
1978Qatar,Qatar,Rest,1978,27.08866667,3.9326,150.1599,319.833,1843.906,4511.0245,367.4,937.6372,601.7585,4979.9624,177.1556,0,0,0,0,192093,4786.299377,,6.07,100,,2.77697,,
1978Romania,Romania,Rest,1978,8.3605,181.6607,2106.2435,1226.8234,0,2265.2939,1812.4713,6059.4684,402.6868,0,193.5779,0,0,0,0,21951464,,,2.52,83.48144113,,,,21918
1978Russia,Russia,Top20,1978,-5.255916667,2026.1377,2026.1377,1404.2907,1052.5777,3390.5624,462.5399,4808.7905,370.7335,198.1002,171.1719,0,0,0,0,137060000,349.2150029,,1.92,,,,,193625
1978Rwanda,Rwanda,Rest,1978,19.5185,0.2895,0.2895,0,425.0043,2564.7657,598.8926,3655.9596,114.9405,1539.3957,4985.9461,0,0,0,0,4803725,1499.6327,,8.451,,,2.23247,,
1978Saint Lucia,Saint Lucia,Rest,1978,27.07816667,0.0989,0.0989,0,5157.118,408.1806,2513.5196,491.6593,251.8279,2118.6373,2696.0246,0,0,247.9372,0,114546,26685.73524,,5.064,,,,,
1978Samoa,Samoa,Rest,1978,26.3885,0.1063,0.1063,0,0,193.5779,937.6372,346.4554,8647.3995,410.3281,0,2429.9233,919.5831,0,0,154007,,,6.434,,,,,
1978Saudi Arabia,Saudi Arabia,Top20,1978,26.04341667,53.7277,146.2273,80.6768,2564.7657,4029.321,367.4,937.6372,601.7585,4979.9624,177.1556,0,0,0,0,8679840,,,7.281,100,,,,
1978Senegal,Senegal,Rest,1978,28.15433333,1.9395,1.9395,0,2513.5196,914.6591,92.4996,5394.1267,2265.2939,1404.2907,1106.937,0,193.5779,0,0,5315265,,,7.304,93.5483871,,,,
1978Serbia,Serbia,Rest,1978,9.541916667,42.69,2448.9763,745.1199,0,2265.2939,1812.4713,6059.4684,402.6868,0,193.5779,0,0,0,0,0,,,,,,,,22227
1978Seychelles,Seychelles,Rest,1978,27.12083333,0.0769,0.0769,0,583.4837,80.6768,3784.2595,2933.5487,937.6372,171.1719,408.1806,4808.7905,177.1556,0,0,62150,173406.1356,,,,,,,
1978Sierra Leone,Sierra Leone,Rest,1978,26.26816667,0.7108,0.7108,0,838.9063,2589.2724,92.4996,5216.9711,2442.4495,1404.2907,1106.937,193.5779,0,0,0,3209263,132099.0847,,6.66,,,,,
1978Singapore,Singapore,Rest,1978,26.90458333,12.4242,66.7835,0,1951.9653,1030.1368,2079.8654,689.7595,2513.5196,0,408.1806,4985.9461,171.1719,0,0,2353600,639472.8705,,1.79,100,,2.29136,,
1978Slovakia,Slovakia,Rest,1978,7.040833333,52.4699,2378.0794,679.5694,146.2273,2265.2939,1812.4713,6059.4684,402.6868,0,193.5779,0,0,0,0,4890125,12139.91865,,2.47,85.23846553,0.123120788,,,
1978Slovenia,Slovenia,Rest,1978,9.057833333,10.3998,2336.0093,679.5694,146.2273,2265.2939,1812.4713,6230.6403,231.5149,0,193.5779,0,0,0,0,1862548,16079.59659,,2.14,,,,,
1978Solomon Islands,Solomon Islands,Rest,1978,26.92441667,0.0623,0.0623,0,193.5779,1106.937,1404.2907,2265.2939,585.3362,4901.2901,743.4872,2684.6915,0,0,0,215347,3153.287281,,6.99,,,,,
1978Somalia,Somalia,Rest,1978,27.32533333,0.5569,0.5569,146.2273,517.9332,2325.6095,4083.6803,114.9405,1302.387,408.1806,4808.7905,177.1556,0,0,0,5417740,833.9108225,,7,,,,,
1978South Africa,South Africa,Top20,1978,17.40975,198.1002,198.1002,0,0,0,398.076,2564.7657,2251.1205,2026.1377,5861.3682,585.3362,0,0,0,27674446,244693.6638,,5.018,97.74308843,,,,
1978South Korea,South Korea,Top20,1978,12.80783333,114.9405,1052.5777,1404.2907,2080.497,239.1562,420.482,3332.6827,4808.7905,177.1556,198.1002,0,171.1719,0,0,36969185,,,2.64,86.88670263,7.375436369,,,
1978Spain,Spain,Rest,1978,13.71666667,179.2564,1018.1627,2085.5958,80.6768,146.2273,7653.4369,1779.5465,1052.5777,54.3593,0,193.5779,0,0,0,36864898,,,2.54,50.94416409,7.782231809,2.2368,,150537
1978Sri Lanka,Sri Lanka,Rest,1978,27.325,3.6258,242.782,0,1604.8773,2221.755,3173.2213,1080.5961,0,408.1806,0,4979.9624,177.1556,0,0,14190000,,,3.562,1.371841155,,,,
1978Sudan,Sudan,Rest,1978,27.15891667,3.1753,3.1753,134.4045,2418.1091,1036.149,3430.4284,225.5312,1052.5777,5410.549,177.1556,0,0,0,0,13510421,,,6.892,36.99421965,,,,
1978Suriname,Suriname,Rest,1978,26.5125,2.3926,2.3926,171.1719,0,4985.9461,1845.9795,1684.8034,134.4045,2118.6373,239.1562,2456.8684,193.5779,54.3593,0,361457,60017.99579,,4.161,,,,,
1978Swaziland,Swaziland,Rest,1978,19.11825,0.4397,198.5399,0,0,53.7277,769.5354,2193.9379,2196.7612,2141.0782,937.6372,5394.1267,0,0,0,567559,1711.165341,,6.728,,,5.79652,,
1978Sweden,Sweden,Rest,1978,1.7265,78.7225,2164.3183,919.5831,2172.365,2051.6275,5861.3682,177.1556,423.6314,0,193.5779,0,0,0,0,8275599,,,1.6,11.92239783,25.60290255,,,82200
1978Switzerland,Switzerland,Rest,1978,6.602666667,41.943,2966.4451,80.6768,146.2273,2026.1377,6860.418,1599.0054,54.3593,0,0,193.5779,0,0,0,6281738,9960.683284,,1.51,4.437869822,19.86982249,,,63308
1978Syria,Syria,Rest,1978,18.67991667,10.8645,237.7686,1843.906,1319.7523,3430.4284,313.0407,1400.1771,4979.9624,370.7335,0,0,0,0,0,8336418,11287.22838,,7.285,27.02890979,,5.51426,,
1978Tajikistan,Tajikistan,Rest,1978,4.38175,7.7346,7.7346,1870.351,3512.8409,2544.7359,0,799.8587,0,4808.7905,348.3275,0,0,0,0,3688385,226200.1998,,5.885,,,,,
1978Tanzania,Tanzania,Rest,1978,22.36091667,1.6036,1.6036,198.1002,146.2273,677.0358,2567.2993,3655.9596,308.5184,937.6372,5216.9711,177.1556,0,0,0,17555494,,,6.711,25.17985612,,,,
1978Thailand,Thailand,Rest,1978,26.49866667,32.5355,32.5355,1697.8062,1052.5777,2365.9429,80.6768,2924.5021,198.1002,408.1806,4808.7905,177.1556,171.1719,0,0,45423436,,,3.808,83.30299913,,,,
1978Togo,Togo,Rest,1978,26.94891667,0.34,0.34,0,1995.3038,1525.3745,0,239.1562,8824.5551,169.2998,937.6372,193.5779,0,0,0,2576469,,,7.27,27.54237288,,,,
1978Tonga,Tonga,Rest,1978,23.20075,0.0366,0.0366,0,0,193.5779,991.9965,292.0961,6621.2618,2436.4658,198.1002,146.2273,3005.1789,0,0,91364,79108.97155,,5.509,,,,,
1978Trinidad and Tobago,Trinidad and Tobago,Rest,1978,26.64541667,5.9899,5.9899,171.1719,4985.9461,408.1806,2513.5196,410.9825,332.5047,2118.6373,1176.7934,1519.2312,0,247.9372,0,1054116,1207849.544,,3.271,98.1374438,,,,
1978Tunisia,Tunisia,Rest,1978,19.776,6.6997,845.606,2166.2726,146.2273,0,2463.3941,6792.4337,1229.7333,54.3593,0,193.5779,0,0,0,6054911,6343726.022,,5.572,98.60710855,,,,
1978Turkey,Turkey,Top20,1978,12.14025,80.6768,80.6768,2471.8368,838.0488,3430.4284,313.0407,1400.1771,4979.9624,370.7335,0,0,0,0,0,42039935,19076.85713,,4.654,56.40246709,,4.34774,,88560
1978Turkmenistan,Turkmenistan,Rest,1978,15.02358333,35.4372,127.9368,373.5607,5756.0379,713.8331,991.9965,606.2808,5002.3684,348.3275,0,0,0,0,0,2734896,,,5.494,,,,,
1978Uganda,Uganda,Rest,1978,23.1965,0.6998,0.6998,53.7277,371.2766,2564.7657,598.8926,3655.9596,308.5184,1345.8178,4985.9461,0,0,0,0,11818307,224947.9756,,7.099,,,,,
1978Ukraine,Ukraine,Rest,1978,7.242166667,589.0144,2156.3944,1584.0262,2026.1377,1643.4469,523.1211,5998.8872,348.3275,0,193.5779,0,0,0,0,49526883,,,1.96,,,,,
1978United Arab Emirates,United Arab Emirates,Rest,1978,28.06983333,12.8692,159.0965,319.833,1843.906,4511.0245,1305.0372,0,601.7585,4979.9624,177.1556,0,0,0,0,852262,,,5.716,100,,,,
1978United Kingdom,United Kingdom,Top20,1978,8.548416667,598.8926,2567.2993,357.2028,80.6768,2580.5456,6452.2374,1400.9052,198.1002,54.3593,0,193.5779,0,0,0,56196504,7569.314523,,1.75,85.611006,12.99439367,,,404100
1978United States of America,United States of America,Top20,1978,8.751416667,4808.7905,4808.7905,585.3362,0,0,2327.4887,2794.323,1133.2545,1550.518,437.2564,247.9372,0,0,0,222585000,7094.287604,,1.76,74.97420613,12.64814746,,,
1978Uruguay,Uruguay,Rest,1978,17.47875,5.8008,5.8008,171.1719,0,0,375.2558,4808.7905,1845.9795,1621.1077,286.0775,239.1562,2080.497,2341.9279,114.9405,2875966,,,2.852,46.80713128,,,,
1978Uzbekistan,Uzbekistan,Rest,1978,12.63366667,120.1287,212.6283,373.5607,5274.3344,2133.1738,54.3593,606.2808,5002.3684,177.1556,171.1719,0,0,0,0,15096012,,,5.399,,,,,
1978Venezuela,Venezuela,Rest,1978,25.499,68.6974,68.6974,171.1719,4985.9461,0,1488.7767,1843.906,278.777,2172.365,0,2696.0246,193.5779,0,54.3593,14525931,69466.92277,,4.391,52.00125569,,,,
1978Vietnam,Vietnam,Rest,1978,23.90175,13.8214,13.8214,1812.7467,937.6372,2312.2152,134.4045,1843.906,1278.6963,408.1806,4808.7905,177.1556,0,171.1719,0,51436000,1428.998402,,5.423,77.77777778,,,,
1978Yemen,Yemen,Rest,1978,26.69575,2.473,56.2007,173.1764,1007.3415,3758.7077,2080.497,1052.5777,193.5779,579.3525,4808.7905,177.1556,0,0,0,7536764,,,8.609,100,,,,
1978Zambia,Zambia,Rest,1978,21.16208333,3.6923,3.6923,198.1002,53.7277,530.3792,2207.5629,824.4238,3624.0063,1052.5777,5216.9711,177.1556,0,0,0,5501445,217305.9663,,7.219,1.717745922,,4.74075,,
1978Zimbabwe,Zimbabwe,Rest,1978,20.92466667,7.2752,205.3754,0,0,146.2273,2645.4425,824.4238,3624.0063,114.9405,5746.4277,585.3362,0,0,0,6703182,,,7.273,11.30657285,,,,
1979Afghanistan,Afghanistan,Rest,1979,14.26208333,1.9712,102.1759,407.2532,3902.796,3769.3541,0,402.1692,423.0824,4838.1847,373.3478,0,0,0,0,13306695,424775.4419,,7.449,,,1.73981,,
1979Albania,Albania,Rest,1979,12.98916667,7.1214,2483.1839,805.9727,0,2312.2585,1635.14,6533.9322,253.0338,0,199.9924,0,0,0,0,2617832,204169.7981,,3.725,21.16788321,,,,1309
1979Algeria,Algeria,Rest,1979,23.39683333,28.8496,28.8496,3032.6887,149.1418,100.2047,2696.4506,6694.2303,320.7405,1022.9431,0,199.9924,0,0,0,18760761,,,6.957,95.47363509,,7.18201,,
1979Andorra,Andorra,Rest,1979,11.30175,,2617.003,490.112,174.9202,0,7573.5256,2008.4878,1090.6498,61.7013,0,199.9924,0,0,0,34818,4136.804861,,,,,,,
1979Angola,Angola,Rest,1979,22.14475,2.7379,2.7379,202.1768,0,622.7233,3099.4386,0,3548.8116,5167.5851,1575.6567,0,0,0,0,8641521,,,7.54,11.9047619,,,,
1979Argentina,Argentina,Rest,1979,14.97466667,100.7732,100.7732,182.0153,0,0,393.5093,4838.1847,423.0824,3232.6811,249.3465,319.8127,2054.1471,2523.613,0,27684534,28394.3236,,3.368,64.28097022,7.151775989,2.40028,,
