,,,,,,CO2 (MtCO2) proximity mileage brackets (to top 20),,,,,,,,,,,,,,,,,,,,,
Key,Country,Group,Year,Ave Temperature,CO2 (MtCO2),1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,Population,GDP-USD (M US$ (2010)),Smoking Rate,Fertility Rate,Electricity production from Fossil Fuel,Electricity from Nuclear,Govt spend on education as % of GDP,Forest area (sq km),Passenger Road Transport M per km
1960Afghanistan,Afghanistan,Rest,1960,13.98541667,0.4177,25.1021,139.9648,1871.2643,2044.6732,0,185.9883,189.5314,2858.0153,100.7014,0,0,0,0,8996351,,,7.45,,,,,
1960Albania,Albania,Rest,1960,13.33508333,2.0225,1412.7651,611.1809,0,1012.0563,877.9457,3338.9996,75.7678,0,88.1302,0,0,0,0,1608800,904.8900388,,6.489,,,,,
1960Algeria,Algeria,Rest,1960,23.50408333,6.1555,6.1555,1977.7576,19.4815,24.6844,1156.2384,3827.6343,66.9156,253.9811,0,88.1302,0,0,0,11124888,2089.939952,,7.524,,,,,
1960Andorra,Andorra,Rest,1960,11.214,,1778.1539,216.4105,27.3591,0,4059.603,978.6471,245.1289,21.3904,0,88.1302,0,0,0,13411,29375.69226,,,,,,,
1960Angola,Angola,Rest,1960,21.92708333,0.5533,0.5533,97.8581,0,153.4337,2035.2971,0,1693.051,2958.6837,476.4995,0,0,0,0,5643182,127938.1396,,7.478,,,,,
1960Argentina,Argentina,Rest,1960,14.99366667,48.7752,48.7752,46.324,0,0,152.2355,2858.0153,189.5314,2065.8878,44.1659,141.8737,891.573,1025.2165,0,20619075,36474.76053,,3.109,,,,,
1960Armenia,Armenia,Rest,1960,9.27325,5.4213,46.9125,1125.6137,1866.8749,780.0876,245.1289,308.7799,2858.0153,188.8316,0,0,0,0,0,1874120,,,4.786,,,,,
1960Australia,Australia,Top20,1960,21.2105,88.1302,88.1302,0,21.3904,0,1145.6998,0,1016.7902,16.8068,1366.8478,3759.1579,0,0,0,10276477,15080.23924,,3.453,79.94778311,,,,
1960Austria,Austria,Rest,1960,6.527083333,30.7959,2008.5535,16.8068,27.3591,1012.0563,969.619,3247.3263,75.7678,0,88.1302,0,0,0,0,7047539,3807.870321,,2.69,26.44087553,,,,
1960Azerbaijan,Azerbaijan,Rest,1960,11.738,20.0149,61.5061,1125.6137,1866.8749,780.0876,245.1289,308.7799,2858.0153,188.8316,0,0,0,0,0,3895396,,,5.878,,,,,
1960Bahrain,Bahrain,Rest,1960,26.2665,0.5752,27.9343,137.2901,1393.9358,2255.4824,131.7867,232.5907,277.6616,2904.3393,54.3774,0,0,0,0,162427,,,7.087,,,,,
1960Bangladesh,Bangladesh,Rest,1960,25.48425,2.2908,122.7741,780.0876,1185.4514,16.8068,1482.066,681.6799,189.5314,0,2858.0153,100.7014,0,0,0,48199747,,,6.725,,,,,
1960Barbados,Barbados,Rest,1960,26.92641667,0.1722,0.1722,46.324,2912.3927,189.5314,1778.1539,216.4105,100.5328,916.2574,1133.1616,12.5382,0,109.5206,0,230939,,,4.333,,,,,
1960Belarus,Belarus,Rest,1960,6.464583333,38.9302,1052.6014,1005.5776,894.2477,900.5709,434.6603,2955.8734,122.0918,0,88.1302,0,0,0,0,8198000,96517.87877,,2.67,,,,,
1960Belgium,Belgium,Rest,1960,9.98875,90.9222,2068.6798,16.8068,27.3591,891.573,3948.1176,443.6884,0,21.3904,0,88.1302,0,0,0,9153489,,,2.54,98.86483633,,,,
1960Belize,Belize,Rest,1960,25.35158333,0.044,0.044,2912.3927,189.5314,46.324,0,1778.1539,1091.1767,249.3975,917.843,208.6135,21.3904,0,0,92064,,,6.5,,,,,
1960Benin,Benin,Rest,1960,27.204,0.1612,0.1612,0,1213.8136,905.968,46.324,120.4833,4773.5847,33.9286,232.5907,88.1302,0,0,0,2431622,4204.530262,,6.282,,,,,
1960Bhutan,Bhutan,Rest,1960,12.42525,,900.5709,0,1185.4514,216.4105,1866.2841,97.8581,189.5314,2858.0153,54.3774,46.324,0,0,0,223288,10202.24325,,6.67,,,,,
1960Bolivia,Bolivia,Rest,1960,20.5945,1.0039,47.3279,0,0,54.3774,2858.0153,558.3863,1706.7608,19.4815,24.6844,1100.1865,1025.2165,21.3904,0,3693449,17038.27841,,6.7,,,,,
1960Botswana,Botswana,Rest,1960,22.15133333,,97.8581,0,0,2.6747,542.2391,1643.817,889.6082,904.1112,3090.606,243.9088,0,0,0,524552,,,6.615,,,,,
1960Brazil,Brazil,Top20,1960,24.75266667,46.324,46.324,0,0,0,3010.2508,1967.6853,216.4105,27.3591,891.573,208.6135,1025.2165,21.3904,0,72207554,,,6.07,,,,,
1960Bulgaria,Bulgaria,Rest,1960,11.24808333,22.2735,1162.0193,882.1777,0,1012.0563,780.0876,3390.5337,122.0918,0,88.1302,0,0,0,0,7867374,,,2.31,,,,,
1960Burkina Faso,Burkina Faso,Rest,1960,28.13208333,0.044,0.044,0,1994.5644,171.5412,0,2978.4986,1915.5694,33.9286,232.5907,88.1302,0,0,0,4829288,,,6.291,,,,,
1960Burundi,Burundi,Rest,1960,20.02483333,0.0456,0.0456,97.8581,44.1659,1514.4191,583.8218,1739.375,100.6684,232.5907,3101.9241,0,0,0,0,2786106,,,6.953,,,,,
1960Cambodia,Cambodia,Rest,1960,27.17241667,0.2345,0.2345,921.9613,245.1289,1007.0623,16.8068,1122.939,952.6767,189.5314,2858.0153,54.3774,46.324,0,0,5722370,697.9476985,,6.967,,,,,
1960Cameroon,Cameroon,Rest,1960,24.50775,0.2711,0.2711,0,497.6042,1622.1774,166.8073,891.573,3827.6343,320.8967,88.1302,0,0,0,0,5176268,54020.83983,,5.647,,,,,
1960Canada,Canada,Top20,1960,-4.406833333,189.5314,189.5314,2858.0153,54.3774,583.8218,2285.5088,1088.3473,27.3591,120.4833,109.5206,97.8581,0,0,0,17909009,608176.2858,,3.811,7.910939413,,,,
1960Central African Republic,Central African Republic,Rest,1960,25.4025,0.0879,0.0879,2.6747,519.6139,1717.9763,0,1717.9846,33.9286,3368.2676,54.3774,0,0,0,0,1503508,2185.116066,,5.84,,,,,
1960Chad,Chad,Rest,1960,27.5235,0.055,0.055,128.7493,1893.1742,218.3414,0,1717.9846,3081.4753,286.9681,88.1302,0,0,0,0,3001593,,,6.25,,,,,
1960Chile,Chile,Rest,1960,9.754166667,11.9446,11.9446,46.324,0,0,54.3774,2955.8734,189.5314,1866.2841,219.0852,46.0748,1244.647,12.5382,780.0876,7716625,,,5.102,,,,,
1960China,China,Top20,1960,6.890916667,780.0876,780.0876,1257.1852,46.0748,19.4815,2065.8878,189.5314,97.8581,2912.3927,0,0,46.324,0,0,667070000,,,5.748,,,,,
1960Colombia,Colombia,Rest,1960,24.94683333,16.03,16.03,0,2958.7167,189.5314,0,1778.1539,297.4618,911.0545,257.2751,913.1091,88.1302,21.3904,0,16480383,7006.635823,,6.807,,,,,
1960Comoros,Comoros,Rest,1960,25.66775,0.011,0.011,97.8581,2.6747,161.9745,1415.3262,1452.0396,1183.0259,0,189.5314,2858.0153,54.3774,0,0,191121,56488.15221,,6.792,,,,,
1960Costa Rica,Costa Rica,Rest,1960,25.89641667,0.491,0.491,54.3774,2904.3393,189.5314,0,1668.8861,308.8715,1006.2379,272.488,868.2178,120.4833,21.3904,0,1333040,,,6.451,,,,,
1960Croatia,Croatia,Rest,1960,11.843,5.6105,1399.5463,600.6286,27.3591,1012.0563,969.619,3247.3263,75.7678,0,88.1302,0,0,0,0,4140000,6155.11579,,2.288,,,,,
1960Cuba,Cuba,Rest,1960,25.53383333,13.685,13.685,2912.3927,189.5314,46.324,1668.8861,308.8715,908.3798,357.8079,792.6258,120.4833,109.5206,0,0,7141135,,,4.182,,,,,
1960Cyprus,Cyprus,Rest,1960,19.93583333,0.8867,17.6935,1421.2949,704.3051,1671.6606,97.8581,456.0507,2904.3393,142.5076,0,0,0,0,0,572930,954.5220471,,3.5,,,,,
1960Czech Republic,Czech Republic,Rest,1960,7.952916667,102.6711,2080.4287,16.8068,27.3591,1012.0563,969.619,3201.0023,122.0918,0,88.1302,0,0,0,0,9602006,,,2.09,,,,,
1960Denmark,Denmark,Rest,1960,-16.95108333,29.759,1898.2488,126.0746,27.3591,1081.1044,3758.5862,299.5063,165.5725,0,88.1302,0,0,0,0,4579603,2234.326592,,2.57,99.54873646,,,,
1960Djibouti,Djibouti,Rest,1960,28.70116667,0.0403,2.715,41.4912,229.7511,1966.3479,1693.051,12.5382,367.0449,189.5314,2858.0153,54.3774,0,0,0,83636,,,6.461,,,,,
1960Dominica,Dominica,Rest,1960,26.60308333,0.011,0.011,0,2958.7167,189.5314,1977.7576,16.8068,100.5328,916.2574,1145.6998,0,0,109.5206,0,60011,2054.31279,,,,,,,
1960Dominican Republic,Dominican Republic,Rest,1960,26.08375,1.0406,1.0406,2858.0153,100.7014,189.5314,1778.1539,199.6037,908.3798,125.2172,1025.2165,120.4833,88.1302,21.3904,0,3294042,136746.336,,7.555,,,,,
1960Ecuador,Ecuador,Rest,1960,21.8235,1.7624,1.7624,46.324,2912.3927,0,189.5314,854.8186,1220.7971,16.8068,918.9321,333.2591,900.5709,21.3904,0,4545550,60580.59727,,6.721,,,,,
1960El Salvador,El Salvador,Rest,1960,25.03616667,0.6192,0.6192,2912.3927,0,235.8554,0,1668.8861,308.8715,1238.8286,819.9849,208.6135,21.3904,0,0,2762899,55008.19986,,6.674,,,,,
1960Equatorial Guinea,Equatorial Guinea,Rest,1960,25.14491667,0.022,0.022,0,209.8006,1909.981,166.8073,0,1671.6606,3135.8527,320.7209,0,0,0,0,255323,,,5.653,,,,,
1960Eritrea,Eritrea,Rest,1960,27.01058333,,2.6747,41.4912,1243.4223,952.6767,1671.6606,33.9286,367.0449,3047.5467,54.3774,0,0,0,0,1397491,,,6.899,,,,,
1960Estonia,Estonia,Rest,1960,4.910833333,11.7697,1025.4409,980.8932,918.9321,900.5709,434.6603,2858.0153,219.9499,0,88.1302,0,0,0,0,1211537,16491.94611,,1.98,,,,,
