,CO2,CO2prox1000,CO2prox2000,CO2prox3000,CO2prox4000,CO2prox5000,CO2prox6000,CO2prox7000,CO2prox8000,CO2prox9000,CO2prox10000,CO2prox11000,CO2prox12000,CO2prox13000,Population,GDP,FertilityRate,ElecFossi,ElecNuclear,ForestArea
29,0.1979,0.1979,166.5239,1335.1817,2430.0013,0.0,4587.6327,398.1937,6622.2525,268.7304,0.0,0.0,0.0,0.0,2939780,15206.147659999999,5.808,46.162638799999996,0.0,225600.0
30,0.1429,0.1429,715.1114,2404.0461,812.5494,0.0,4587.6327,5674.0984,1351.3858,263.6924,0.0,0.0,0.0,0.0,5956859,44719.28145,7.313,46.162638799999996,0.0,67050.0
31,30.8135,30.8135,199.8423,0.0,0.0,268.7304,5094.1635,429.4524,2545.6727,656.948,329.9684,3854.7002,248.4545,2180.5838,13242132,44719.28145,2.5469999999999997,46.162638799999996,0.0,152630.0
32,2180.5838,2180.5838,4103.1547,329.9684,305.8892,2896.7315,429.4524,247.7112,5115.1827,0.0,0.0,199.8423,0.0,0.0,1135185000,12268.87377,2.35,79.59206011,0.0,1571406.0
33,49.2226,49.2226,0.0,5315.025,429.4524,0.0,2281.9803,598.77,2513.0958,1262.8846,2993.8765,263.6924,149.7392,0.0,34271565,144131.8489,2.9939999999999998,23.61580989,0.0,644170.0
34,0.0623,0.0623,247.7112,166.5239,884.4327,2227.744,2999.3105,3738.1588,0.0,429.4524,4846.4523,268.7304,0.0,0.0,411594,229126.5675,6.412000000000001,0.442477876,0.0,490.0
35,3.2208,3.2208,247.7112,166.5239,2397.5993,1119.8725,2380.4261,2356.9458,6870.706999999999,268.7304,0.0,0.0,0.0,0.0,34614581,921.6109137,6.746,0.442477876,0.0,1603630.0
36,2.9078,2.9078,268.7304,5046.2946,429.4524,0.0,1872.7581,760.2810000000001,2594.2831,1677.8629999999998,2444.2762,564.8382,149.7392,0.0,3095995,323.53886439999997,3.1719999999999997,2.479815456,0.0,25640.0
37,21.7235,2099.7283,694.3996,346.7531,2772.0448,2610.0362,6625.1157,418.4696,0.0,263.6924,0.0,0.0,0.0,0.0,4780000,18541.95727,1.63,54.44714191,0.0,18500.0
38,35.5949,35.5949,5115.1827,429.4524,199.8423,1872.7581,760.2810000000001,2346.5719,1677.1197,2429.0383,564.8382,413.4316,0.0,0.0,10582081,38020.869119999996,1.75,89.74973376,0.0,20580.0
39,4.4543,143.8196,2424.7579,1119.8725,4387.7904,247.7112,1910.3015,5046.2946,532.4228,0.0,0.0,0.0,0.0,0.0,766614,89567.84076,2.411,100.0,0.0,1611.1
40,153.5933,2786.6324,139.3653,346.7531,2772.0448,2610.0362,6425.2734,618.3119,0.0,263.6924,0.0,0.0,0.0,0.0,10333355,11329.5542,1.9,77.9255191,20.21004962,26290.0
41,52.0169,2275.8338,548.5875,346.7531,2636.659,7591.8743,1599.8403,597.2927,0.0,263.6924,0.0,0.0,0.0,0.0,5140939,216.7932819,1.67,96.73620199,0.0,5432.0
42,0.3224,166.8463,319.5945,974.0604,2471.5281,4537.5296,248.4545,1546.1901,429.4524,4846.4523,268.7304,0.0,0.0,0.0,590398,9964.477335,6.0729999999999995,89.88642509,0.0,56.0
43,0.0586,0.0586,0.0,5315.025,429.4524,2633.0391,139.3653,414.2351,2387.4358,4076.5319,0.0,0.0,413.4316,0.0,70926,9964.477335,3.465,89.88642509,0.0,500.0
44,7.9276,7.9276,4846.4523,468.5727,429.4524,2281.9803,351.0588,2346.5719,594.4643,3511.6937,564.8382,263.6924,149.7392,0.0,7183647,9964.477335,3.465,89.88642509,0.0,11050.0
45,15.6994,15.6994,199.8423,5115.1827,0.0,429.4524,913.6881,1967.0622,139.3653,2553.9597,1594.8023,2745.422,149.7392,0.0,10218091,2132.221729,3.767,21.452197199999997,0.0,146308.5
46,87.0458,392.935,1899.5802,913.6881,812.5494,4387.7904,398.1937,6558.4024,532.4228,0.0,0.0,0.0,0.0,0.0,57412215,167119.8512,4.663,76.49564559,0.0,440.0
47,2.4288,2.4288,5115.1827,0.0,629.2947,0.0,1872.7581,760.2810000000001,3676.9385,2775.7914,828.5306,149.7392,0.0,0.0,5254984,1907283.793,3.964,6.807935077000001,0.0,3770.0
48,0.066,0.066,0.0,823.4573,2543.4114,764.6805,0.0,4387.7904,5942.8288,1346.3478,0.0,0.0,0.0,0.0,426846,10585.81483,5.987,100.0,0.0,18600.0
49,36.4334,166.5239,319.5945,2284.1892,1161.3993,4387.7904,398.1937,1546.1901,5275.9047,268.7304,0.0,0.0,0.0,0.0,3113311,472.7755718,6.3870000000000005,100.0,0.0,16210.0
50,36.4334,1346.5622,1462.2756,2553.9597,2745.422,1760.5623,4846.4523,866.0231,0.0,263.6924,0.0,0.0,0.0,0.0,1569174,16925.987569999998,2.05,100.0,0.0,22060.0
51,2.3385,2.3385,346.7531,1361.1369,2223.8169,4387.7904,398.1937,1546.1901,429.4524,4846.4523,268.7304,0.0,0.0,0.0,48086516,2568633.883,7.246,11.64725458,0.0,167350.0
52,0.8097,0.8097,0.0,263.6924,0.0,1480.8491,0.0,9932.4255,564.8382,627.7827,1211.9823,1726.9460000000001,0.0,0.0,728628,12047.566840000001,3.398,35.20973941,0.0,9529.0
53,54.6517,1364.7805,1462.2756,2553.9597,3174.8744,6177.5622,268.7304,597.2927,0.0,263.6924,0.0,0.0,0.0,0.0,4986431,197653.9498,1.78,35.20973941,35.33847031,218750.0
54,358.6538,2633.0391,139.3653,346.7531,2207.2066,8021.3267,964.7384,1082.6554,149.7392,0.0,263.6924,0.0,0.0,0.0,58512808,459.4409197,1.77,11.29389092,75.28325811,144360.0
